Date/Time,U1_AVE(V),I1_AVE(A),P_AVE(W),WP+(Wh),WP-(Wh),St,PF_AVE
43564.43708,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00
43564.43709,2.02E+02,3.25E+00,-5.36E+02,0.00E+00,-1.50E-01,0,-8.17E-01
43564.43711,2.02E+02,3.23E+00,-5.31E+02,0.00E+00,-3.00E-01,0,-8.15E-01
43564.43712,2.02E+02,3.26E+00,-5.35E+02,0.00E+00,-4.50E-01,0,-8.16E-01
43564.43713,2.02E+02,3.25E+00,-5.34E+02,0.00E+00,-5.90E-01,0,-8.15E-01
43564.43714,2.01E+02,3.32E+00,-5.46E+02,0.00E+00,-7.50E-01,0,-8.17E-01
43564.43715,2.02E+02,3.22E+00,-5.30E+02,0.00E+00,-8.90E-01,0,-8.15E-01
43564.43716,2.01E+02,3.30E+00,-5.43E+02,0.00E+00,-1.04E+00,0,-8.16E-01
43564.43718,2.01E+02,3.23E+00,-5.31E+02,0.00E+00,-1.19E+00,0,-8.16E-01
43564.43719,2.02E+02,3.30E+00,-5.44E+02,0.00E+00,-1.34E+00,0,-8.16E-01
43564.4372,2.02E+02,3.30E+00,-5.44E+02,0.00E+00,-1.49E+00,0,-8.17E-01
43564.43721,2.02E+02,3.24E+00,-5.33E+02,0.00E+00,-1.64E+00,0,-8.16E-01
43564.43722,2.02E+02,3.28E+00,-5.41E+02,0.00E+00,-1.79E+00,0,-8.16E-01
43564.43723,2.02E+02,3.27E+00,-5.39E+02,0.00E+00,-1.94E+00,0,-8.17E-01
43564.43725,2.02E+02,3.25E+00,-5.35E+02,0.00E+00,-2.09E+00,0,-8.16E-01
43564.43726,2.02E+02,3.28E+00,-5.42E+02,0.00E+00,-2.24E+00,0,-8.20E-01
43564.43727,2.02E+02,3.29E+00,-5.41E+02,0.00E+00,-2.39E+00,0,-8.17E-01
43564.43728,2.02E+02,3.29E+00,-5.43E+02,0.00E+00,-2.54E+00,0,-8.19E-01
43564.43729,2.02E+02,3.28E+00,-5.40E+02,0.00E+00,-2.69E+00,0,-8.18E-01
43564.4373,2.01E+02,3.25E+00,-5.37E+02,0.00E+00,-2.84E+00,0,-8.19E-01
43564.43731,2.02E+02,3.28E+00,-5.43E+02,0.00E+00,-2.99E+00,0,-8.20E-01
43564.43733,2.01E+02,3.23E+00,-5.32E+02,0.00E+00,-3.14E+00,0,-8.19E-01
43564.43734,2.01E+02,3.32E+00,-5.48E+02,0.00E+00,-3.29E+00,0,-8.20E-01
43564.43735,2.01E+02,3.27E+00,-5.39E+02,0.00E+00,-3.44E+00,0,-8.21E-01
43564.43736,2.01E+02,3.33E+00,-5.49E+02,0.00E+00,-3.59E+00,0,-8.20E-01
43564.43737,2.01E+02,3.23E+00,-5.32E+02,0.00E+00,-3.74E+00,0,-8.17E-01
43564.43738,2.01E+02,3.25E+00,-5.35E+02,0.00E+00,-3.89E+00,0,-8.19E-01
43564.4374,2.01E+02,3.30E+00,-5.43E+02,0.00E+00,-4.04E+00,0,-8.20E-01
43564.43741,2.01E+02,3.28E+00,-5.42E+02,0.00E+00,-4.19E+00,0,-8.21E-01
43564.43742,2.02E+02,3.29E+00,-5.44E+02,0.00E+00,-4.34E+00,0,-8.20E-01
43564.43743,2.02E+02,3.27E+00,-5.41E+02,0.00E+00,-4.49E+00,0,-8.20E-01
43564.43744,2.01E+02,3.26E+00,-5.36E+02,0.00E+00,-4.64E+00,0,-8.19E-01
43564.43745,2.01E+02,3.26E+00,-5.36E+02,0.00E+00,-4.79E+00,0,-8.18E-01
43564.43747,2.01E+02,3.22E+00,-5.31E+02,0.00E+00,-4.94E+00,0,-8.19E-01
43564.43748,2.02E+02,3.24E+00,-5.34E+02,0.00E+00,-5.09E+00,0,-8.18E-01
43564.43749,2.01E+02,3.27E+00,-5.40E+02,0.00E+00,-5.24E+00,0,-8.19E-01
43564.4375,2.01E+02,3.25E+00,-5.36E+02,0.00E+00,-5.39E+00,0,-8.19E-01
43564.43751,2.01E+02,3.28E+00,-5.43E+02,0.00E+00,-5.54E+00,0,-8.21E-01
43564.43752,2.02E+02,3.27E+00,-5.41E+02,0.00E+00,-5.69E+00,0,-8.20E-01
43564.43753,2.01E+02,3.27E+00,-5.39E+02,0.00E+00,-5.84E+00,0,-8.20E-01
43564.43755,2.01E+02,3.28E+00,-5.43E+02,0.00E+00,-5.99E+00,0,-8.22E-01
43564.43756,2.02E+02,3.31E+00,-5.47E+02,0.00E+00,-6.14E+00,0,-8.21E-01
43564.43757,2.01E+02,3.30E+00,-5.44E+02,0.00E+00,-6.29E+00,0,-8.21E-01
43564.43758,2.01E+02,3.22E+00,-5.30E+02,0.00E+00,-6.44E+00,0,-8.19E-01
43564.43759,2.01E+02,3.22E+00,-5.30E+02,0.00E+00,-6.58E+00,0,-8.19E-01
43564.4376,2.01E+02,3.27E+00,-5.41E+02,0.00E+00,-6.73E+00,0,-8.22E-01
43564.43762,2.02E+02,3.23E+00,-5.34E+02,0.00E+00,-6.88E+00,0,-8.19E-01
43564.43763,2.01E+02,3.27E+00,-5.41E+02,0.00E+00,-7.03E+00,0,-8.20E-01
43564.43764,2.01E+02,3.26E+00,-5.37E+02,0.00E+00,-7.18E+00,0,-8.20E-01
43564.43765,2.01E+02,3.25E+00,-5.36E+02,0.00E+00,-7.33E+00,0,-8.20E-01
43564.43766,2.01E+02,3.23E+00,-5.32E+02,0.00E+00,-7.48E+00,0,-8.19E-01
43564.43767,2.02E+02,3.29E+00,-5.44E+02,0.00E+00,-7.63E+00,0,-8.21E-01
43564.43769,2.01E+02,3.22E+00,-5.33E+02,0.00E+00,-7.78E+00,0,-8.21E-01
43564.4377,2.01E+02,3.30E+00,-5.46E+02,0.00E+00,-7.93E+00,0,-8.21E-01
43564.43771,2.01E+02,3.22E+00,-5.31E+02,0.00E+00,-8.08E+00,0,-8.19E-01
43564.43772,2.02E+02,3.29E+00,-5.43E+02,0.00E+00,-8.23E+00,0,-8.20E-01
43564.43773,2.02E+02,3.21E+00,-5.29E+02,0.00E+00,-8.37E+00,0,8.19E-01
43564.43774,2.01E+02,3.21E+00,-5.28E+02,0.00E+00,-8.52E+00,0,-8.19E-01
43564.43775,2.01E+02,3.27E+00,-5.41E+02,0.00E+00,-8.67E+00,0,-8.22E-01
43564.43777,2.01E+02,3.29E+00,-5.44E+02,0.00E+00,-8.82E+00,0,-8.21E-01
43564.43778,2.02E+02,3.30E+00,-5.46E+02,0.00E+00,-8.97E+00,0,-8.21E-01
43564.43779,2.02E+02,3.29E+00,-5.45E+02,0.00E+00,-9.13E+00,0,-8.20E-01
43564.4378,2.02E+02,3.23E+00,-5.34E+02,0.00E+00,-9.27E+00,0,-8.18E-01
43564.43781,2.02E+02,3.21E+00,-5.30E+02,0.00E+00,-9.42E+00,0,-8.19E-01
43564.43782,2.02E+02,3.29E+00,-5.44E+02,0.00E+00,-9.57E+00,0,-8.19E-01
43564.43784,2.02E+02,3.30E+00,-5.45E+02,0.00E+00,-9.72E+00,0,-8.20E-01
43564.43785,2.02E+02,3.20E+00,-5.28E+02,0.00E+00,-9.87E+00,0,-8.18E-01
43564.43786,2.01E+02,3.27E+00,-5.40E+02,0.00E+00,-1.00E+01,0,-8.19E-01
43564.43787,2.02E+02,3.27E+00,-5.39E+02,0.00E+00,-1.02E+01,0,-8.19E-01
43564.43788,2.01E+02,3.31E+00,-5.48E+02,0.00E+00,-1.03E+01,0,-8.20E-01
43564.43789,2.01E+02,3.29E+00,-5.43E+02,0.00E+00,-1.05E+01,0,-8.20E-01
43564.43791,2.01E+02,3.32E+00,-5.47E+02,0.00E+00,-1.06E+01,0,-8.20E-01
43564.43792,2.01E+02,3.29E+00,-5.42E+02,0.00E+00,-1.08E+01,0,-8.18E-01
43564.43793,2.01E+02,3.26E+00,-5.37E+02,0.00E+00,-1.09E+01,0,-8.18E-01
43564.43794,2.02E+02,3.29E+00,-5.44E+02,0.00E+00,-1.11E+01,0,-8.19E-01
43564.43795,2.02E+02,3.30E+00,-5.45E+02,0.00E+00,-1.12E+01,0,-8.20E-01
43564.43796,2.01E+02,3.25E+00,-5.34E+02,0.00E+00,-1.14E+01,0,-8.17E-01
43564.43797,2.02E+02,3.29E+00,-5.42E+02,0.00E+00,-1.15E+01,0,-8.18E-01
43564.43799,2.02E+02,3.25E+00,-5.35E+02,0.00E+00,-1.17E+01,0,-8.17E-01
43564.438,2.02E+02,3.27E+00,-5.40E+02,0.00E+00,-1.18E+01,0,-8.19E-01
43564.43801,2.02E+02,3.25E+00,-5.37E+02,0.00E+00,-1.20E+01,0,-8.18E-01
43564.43802,2.02E+02,3.23E+00,-5.34E+02,0.00E+00,-1.21E+01,0,-8.19E-01
43564.43803,2.02E+02,3.25E+00,-5.38E+02,0.00E+00,-1.23E+01,0,-8.19E-01
43564.43804,2.02E+02,3.28E+00,-5.43E+02,0.00E+00,-1.24E+01,0,-8.20E-01
43564.43806,2.02E+02,3.20E+00,-5.29E+02,0.00E+00,-1.26E+01,0,-8.18E-01
43564.43807,2.02E+02,3.23E+00,-5.34E+02,0.00E+00,-1.27E+01,0,-8.20E-01
43564.43808,2.02E+02,3.26E+00,-5.39E+02,0.00E+00,-1.29E+01,0,-8.20E-01
43564.43809,2.02E+02,3.28E+00,-5.44E+02,0.00E+00,-1.30E+01,0,-8.22E-01
43564.4381,2.02E+02,3.30E+00,-5.46E+02,0.00E+00,-1.32E+01,0,-8.21E-01
43564.43811,2.02E+02,3.27E+00,-5.40E+02,0.00E+00,-1.33E+01,0,-8.19E-01
43564.43813,2.01E+02,3.25E+00,-5.37E+02,0.00E+00,-1.35E+01,0,-8.19E-01
43564.43814,2.02E+02,3.22E+00,-5.30E+02,0.00E+00,-1.36E+01,0,-8.18E-01
43564.43815,2.02E+02,3.27E+00,-5.41E+02,0.00E+00,-1.38E+01,0,-8.20E-01
43564.43816,2.01E+02,3.27E+00,-5.40E+02,0.00E+00,-1.39E+01,0,-8.22E-01
43564.43817,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-1.41E+01,0,-8.20E-01
43564.43818,2.01E+02,3.23E+00,-5.33E+02,0.00E+00,-1.42E+01,0,-8.19E-01
43564.43819,2.02E+02,3.28E+00,-5.42E+02,0.00E+00,-1.44E+01,0,-8.19E-01
43564.43821,2.02E+02,3.30E+00,-5.45E+02,0.00E+00,-1.45E+01,0,-8.19E-01
43564.43822,2.02E+02,3.24E+00,-5.34E+02,0.00E+00,-1.47E+01,0,-8.18E-01
43564.43823,2.01E+02,3.24E+00,-5.33E+02,0.00E+00,-1.48E+01,0,-8.18E-01
43564.43824,2.01E+02,3.26E+00,-5.37E+02,0.00E+00,-1.50E+01,0,-8.18E-01
43564.43825,2.02E+02,3.29E+00,-5.44E+02,0.00E+00,-1.51E+01,0,-8.19E-01
43564.43826,2.02E+02,3.25E+00,-5.36E+02,0.00E+00,-1.53E+01,0,-8.18E-01
43564.43828,2.02E+02,3.30E+00,-5.45E+02,0.00E+00,-1.54E+01,0,-8.20E-01
43564.43829,2.01E+02,3.23E+00,-5.32E+02,0.00E+00,-1.56E+01,0,-8.17E-01
43564.4383,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-1.57E+01,0,-8.19E-01
43564.43831,2.02E+02,3.28E+00,-5.41E+02,0.00E+00,-1.59E+01,0,-8.18E-01
43564.43832,2.02E+02,3.23E+00,-5.33E+02,0.00E+00,-1.60E+01,0,-8.17E-01
43564.43833,2.02E+02,3.21E+00,-5.29E+02,0.00E+00,-1.62E+01,0,-8.19E-01
43564.43834,2.02E+02,3.16E+00,-5.21E+02,0.00E+00,-1.63E+01,0,8.19E-01
43564.43836,2.02E+02,3.08E+00,-5.09E+02,0.00E+00,-1.64E+01,0,8.18E-01
43564.43837,2.02E+02,3.09E+00,-5.10E+02,0.00E+00,-1.66E+01,0,8.18E-01
43564.43838,2.02E+02,3.09E+00,-5.09E+02,0.00E+00,-1.67E+01,0,8.18E-01
43564.43839,2.02E+02,3.07E+00,-5.07E+02,0.00E+00,-1.69E+01,0,8.18E-01
43564.4384,2.02E+02,3.07E+00,-5.07E+02,0.00E+00,-1.70E+01,0,8.19E-01
43564.43841,2.02E+02,3.06E+00,-5.05E+02,0.00E+00,-1.72E+01,0,8.17E-01
43564.43843,2.02E+02,3.07E+00,-5.07E+02,0.00E+00,-1.73E+01,0,8.17E-01
43564.43844,2.02E+02,3.07E+00,-5.07E+02,0.00E+00,-1.74E+01,0,8.19E-01
43564.43845,2.02E+02,3.07E+00,-5.06E+02,0.00E+00,-1.76E+01,0,8.18E-01
43564.43846,2.02E+02,3.07E+00,-5.07E+02,0.00E+00,-1.77E+01,0,8.18E-01
43564.43847,2.02E+02,3.06E+00,-5.04E+02,0.00E+00,-1.79E+01,0,8.17E-01
43564.43848,2.02E+02,3.07E+00,-5.06E+02,0.00E+00,-1.80E+01,0,8.17E-01
43564.4385,2.01E+02,3.06E+00,-5.05E+02,0.00E+00,-1.81E+01,0,8.19E-01
43564.43851,2.01E+02,3.09E+00,-5.08E+02,0.00E+00,-1.83E+01,0,8.18E-01
43564.43852,2.01E+02,3.16E+00,-5.21E+02,0.00E+00,-1.84E+01,0,8.20E-01
43564.43853,2.02E+02,3.22E+00,-5.32E+02,0.00E+00,-1.86E+01,0,-8.20E-01
43564.43854,2.02E+02,3.27E+00,-5.40E+02,0.00E+00,-1.87E+01,0,-8.19E-01
43564.43855,2.01E+02,3.18E+00,-5.25E+02,0.00E+00,-1.89E+01,0,-8.19E-01
43564.43856,2.01E+02,3.23E+00,-5.32E+02,0.00E+00,-1.90E+01,0,-8.18E-01
43564.43858,2.01E+02,3.24E+00,-5.34E+02,0.00E+00,-1.92E+01,0,-8.19E-01
43564.43859,2.01E+02,3.26E+00,-5.38E+02,0.00E+00,-1.93E+01,0,-8.19E-01
43564.4386,2.01E+02,3.29E+00,-5.43E+02,0.00E+00,-1.95E+01,0,-8.21E-01
43564.43861,2.02E+02,3.25E+00,-5.38E+02,0.00E+00,-1.96E+01,0,-8.21E-01
43564.43862,2.02E+02,3.27E+00,-5.41E+02,0.00E+00,-1.98E+01,0,-8.22E-01
43564.43863,2.02E+02,3.20E+00,-5.28E+02,0.00E+00,-1.99E+01,0,-8.20E-01
43564.43865,2.02E+02,3.22E+00,-5.32E+02,0.00E+00,-2.01E+01,0,-8.20E-01
43564.43866,2.02E+02,3.25E+00,-5.38E+02,0.00E+00,-2.02E+01,0,-8.20E-01
43564.43867,2.02E+02,3.28E+00,-5.42E+02,0.00E+00,-2.04E+01,0,-8.20E-01
43564.43868,2.02E+02,3.25E+00,-5.37E+02,0.00E+00,-2.05E+01,0,-8.20E-01
43564.43869,2.02E+02,3.22E+00,-5.32E+02,0.00E+00,-2.07E+01,0,-8.19E-01
43564.4387,2.02E+02,3.20E+00,-5.28E+02,0.00E+00,-2.08E+01,0,-8.19E-01
43564.43872,2.02E+02,3.25E+00,-5.37E+02,0.00E+00,-2.10E+01,0,-8.20E-01
43564.43873,2.02E+02,3.28E+00,-5.42E+02,0.00E+00,-2.11E+01,0,-8.20E-01
43564.43874,2.02E+02,3.29E+00,-5.44E+02,0.00E+00,-2.13E+01,0,-8.19E-01
43564.43875,2.02E+02,3.29E+00,-5.45E+02,0.00E+00,-2.14E+01,0,-8.20E-01
43564.43876,2.02E+02,3.32E+00,-5.49E+02,0.00E+00,-2.16E+01,0,-8.20E-01
43564.43877,2.02E+02,3.25E+00,-5.35E+02,0.00E+00,-2.17E+01,0,-8.18E-01
43564.43878,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-2.19E+01,0,-8.20E-01
43564.4388,2.02E+02,3.30E+00,-5.46E+02,0.00E+00,-2.20E+01,0,-8.20E-01
43564.43881,2.02E+02,3.31E+00,-5.46E+02,0.00E+00,-2.22E+01,0,-8.20E-01
43564.43882,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-2.23E+01,0,-8.19E-01
43564.43883,2.01E+02,3.26E+00,-5.38E+02,0.00E+00,-2.25E+01,0,-8.18E-01
43564.43884,2.02E+02,3.25E+00,-5.37E+02,0.00E+00,-2.26E+01,0,-8.19E-01
43564.43885,2.01E+02,3.22E+00,-5.30E+02,0.00E+00,-2.28E+01,0,-8.18E-01
43564.43887,2.01E+02,3.27E+00,-5.38E+02,0.00E+00,-2.29E+01,0,-8.19E-01
43564.43888,2.01E+02,3.26E+00,-5.37E+02,0.00E+00,-2.31E+01,0,-8.19E-01
43564.43889,2.01E+02,3.30E+00,-5.45E+02,0.00E+00,-2.32E+01,0,-8.20E-01
43564.4389,2.02E+02,3.27E+00,-5.40E+02,0.00E+00,-2.34E+01,0,-8.19E-01
43564.43891,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-2.35E+01,0,-8.19E-01
43564.43892,2.01E+02,3.22E+00,-5.29E+02,0.00E+00,-2.37E+01,0,-8.18E-01
43564.43894,2.01E+02,3.24E+00,-5.35E+02,0.00E+00,-2.38E+01,0,-8.19E-01
43564.43895,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-2.40E+01,0,-8.19E-01
43564.43896,2.02E+02,3.27E+00,-5.40E+02,0.00E+00,-2.41E+01,0,-8.20E-01
43564.43897,2.01E+02,3.29E+00,-5.43E+02,0.00E+00,-2.43E+01,0,-8.20E-01
43564.43898,2.01E+02,3.30E+00,-5.47E+02,0.00E+00,-2.44E+01,0,-8.22E-01
43564.43899,2.02E+02,3.24E+00,-5.36E+02,0.00E+00,-2.46E+01,0,-8.19E-01
43564.439,2.02E+02,3.20E+00,-5.28E+02,0.00E+00,-2.47E+01,0,-8.18E-01
43564.43902,2.02E+02,3.27E+00,-5.41E+02,0.00E+00,-2.48E+01,0,-8.19E-01
43564.43903,2.02E+02,3.29E+00,-5.43E+02,0.00E+00,-2.50E+01,0,-8.20E-01
43564.43904,2.01E+02,3.29E+00,-5.41E+02,0.00E+00,-2.51E+01,0,-8.18E-01
43564.43905,2.01E+02,3.29E+00,-5.43E+02,0.00E+00,-2.53E+01,0,-8.20E-01
43564.43906,2.01E+02,3.29E+00,-5.44E+02,0.00E+00,-2.55E+01,0,-8.20E-01
43564.43907,2.01E+02,3.24E+00,-5.34E+02,0.00E+00,-2.56E+01,0,-8.19E-01
43564.43909,2.01E+02,3.23E+00,-5.31E+02,0.00E+00,-2.57E+01,0,-8.18E-01
43564.4391,2.01E+02,3.29E+00,-5.43E+02,0.00E+00,-2.59E+01,0,-8.21E-01
43564.43911,2.01E+02,3.29E+00,-5.42E+02,0.00E+00,-2.60E+01,0,-8.21E-01
43564.43912,2.01E+02,3.23E+00,-5.32E+02,0.00E+00,-2.62E+01,0,-8.19E-01
43564.43913,2.01E+02,3.25E+00,-5.33E+02,0.00E+00,-2.63E+01,0,-8.18E-01
43564.43914,2.00E+02,3.28E+00,-5.40E+02,0.00E+00,-2.65E+01,0,-8.20E-01
43564.43916,2.01E+02,3.22E+00,-5.30E+02,0.00E+00,-2.66E+01,0,-8.19E-01
43564.43917,2.01E+02,3.26E+00,-5.36E+02,0.00E+00,-2.68E+01,0,-8.17E-01
43564.43918,2.01E+02,3.28E+00,-5.40E+02,0.00E+00,-2.69E+01,0,-8.20E-01
43564.43919,2.01E+02,3.30E+00,-5.44E+02,0.00E+00,-2.71E+01,0,-8.21E-01
43564.4392,2.01E+02,3.24E+00,-5.33E+02,0.00E+00,-2.72E+01,0,-8.19E-01
43564.43921,2.01E+02,3.22E+00,-5.31E+02,0.00E+00,-2.74E+01,0,-8.18E-01
43564.43922,2.01E+02,3.28E+00,-5.40E+02,0.00E+00,-2.75E+01,0,-8.19E-01
43564.43924,2.01E+02,3.29E+00,-5.41E+02,0.00E+00,-2.77E+01,0,-8.18E-01
43564.43925,2.01E+02,3.23E+00,-5.31E+02,0.00E+00,-2.78E+01,0,-8.18E-01
43564.43926,2.01E+02,3.26E+00,-5.36E+02,0.00E+00,-2.80E+01,0,-8.19E-01
43564.43927,2.01E+02,3.31E+00,-5.45E+02,0.00E+00,-2.81E+01,0,-8.19E-01
43564.43928,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-2.83E+01,0,-8.19E-01
43564.43929,2.01E+02,3.27E+00,-5.38E+02,0.00E+00,-2.84E+01,0,-8.20E-01
43564.43931,2.01E+02,3.27E+00,-5.40E+02,0.00E+00,-2.86E+01,0,-8.20E-01
43564.43932,2.01E+02,3.30E+00,-5.43E+02,0.00E+00,-2.87E+01,0,-8.19E-01
43564.43933,2.01E+02,3.28E+00,-5.40E+02,0.00E+00,-2.89E+01,0,-8.20E-01
43564.43934,2.01E+02,3.27E+00,-5.39E+02,0.00E+00,-2.90E+01,0,-8.20E-01
43564.43935,2.01E+02,3.26E+00,-5.37E+02,0.00E+00,-2.92E+01,0,-8.21E-01
43564.43936,2.01E+02,3.24E+00,-5.33E+02,0.00E+00,-2.93E+01,0,-8.19E-01
43564.43938,2.01E+02,3.23E+00,-5.33E+02,0.00E+00,-2.95E+01,0,-8.20E-01
43564.43939,2.01E+02,3.30E+00,-5.45E+02,0.00E+00,-2.96E+01,0,-8.21E-01
43564.4394,2.01E+02,3.28E+00,-5.41E+02,0.00E+00,-2.98E+01,0,-8.21E-01
43564.43941,2.01E+02,3.30E+00,-5.44E+02,0.00E+00,-2.99E+01,0,-8.20E-01
43564.43942,2.01E+02,3.23E+00,-5.33E+02,0.00E+00,-3.01E+01,0,-8.21E-01
43564.43943,2.01E+02,3.26E+00,-5.38E+02,0.00E+00,-3.02E+01,0,-8.21E-01
43564.43944,2.01E+02,3.30E+00,-5.45E+02,0.00E+00,-3.04E+01,0,-8.21E-01
43564.43946,2.01E+02,3.30E+00,-5.45E+02,0.00E+00,-3.05E+01,0,-8.21E-01
43564.43947,2.01E+02,3.27E+00,-5.39E+02,0.00E+00,-3.07E+01,0,-8.20E-01
43564.43948,2.01E+02,3.24E+00,-5.32E+02,0.00E+00,-3.08E+01,0,-8.19E-01
43564.43949,2.01E+02,3.29E+00,-5.40E+02,0.00E+00,-3.10E+01,0,-8.18E-01
43564.4395,2.01E+02,3.26E+00,-5.37E+02,0.00E+00,-3.11E+01,0,-8.17E-01
43564.43951,2.01E+02,3.31E+00,-5.44E+02,0.00E+00,-3.13E+01,0,-8.19E-01
43564.43953,2.01E+02,3.24E+00,-5.33E+02,0.00E+00,-3.14E+01,0,-8.18E-01
43564.43954,2.01E+02,3.26E+00,-5.36E+02,0.00E+00,-3.16E+01,0,-8.18E-01
43564.43955,2.01E+02,3.31E+00,-5.46E+02,0.00E+00,-3.17E+01,0,-8.20E-01
43564.43956,2.01E+02,3.30E+00,-5.44E+02,0.00E+00,-3.19E+01,0,-8.20E-01
43564.43957,2.01E+02,3.27E+00,-5.37E+02,0.00E+00,-3.20E+01,0,-8.17E-01
43564.43958,2.01E+02,3.25E+00,-5.33E+02,0.00E+00,-3.22E+01,0,-8.17E-01
43564.43959,2.01E+02,3.25E+00,-5.34E+02,0.00E+00,-3.23E+01,0,-8.17E-01
43564.43961,2.01E+02,3.25E+00,-5.34E+02,0.00E+00,-3.25E+01,0,-8.18E-01
43564.43962,2.01E+02,3.30E+00,-5.42E+02,0.00E+00,-3.26E+01,0,-8.19E-01
43564.43963,2.01E+02,3.25E+00,-5.35E+02,0.00E+00,-3.28E+01,0,-8.19E-01
43564.43964,2.01E+02,3.27E+00,-5.37E+02,0.00E+00,-3.29E+01,0,-8.18E-01
43564.43965,2.01E+02,3.25E+00,-5.35E+02,0.00E+00,-3.31E+01,0,-8.19E-01
43564.43966,2.01E+02,3.31E+00,-5.46E+02,0.00E+00,-3.32E+01,0,-8.20E-01
43564.43968,2.01E+02,3.32E+00,-5.46E+02,0.00E+00,-3.34E+01,0,-8.19E-01
43564.43969,2.01E+02,3.31E+00,-5.45E+02,0.00E+00,-3.35E+01,0,-8.19E-01
43564.4397,2.01E+02,3.33E+00,-5.48E+02,0.00E+00,-3.37E+01,0,-8.20E-01
43564.43971,2.01E+02,3.25E+00,-5.36E+02,0.00E+00,-3.38E+01,0,-8.20E-01
43564.43972,2.01E+02,3.29E+00,-5.42E+02,0.00E+00,-3.40E+01,0,-8.19E-01
43564.43973,2.01E+02,3.31E+00,-5.44E+02,0.00E+00,-3.41E+01,0,-8.20E-01
43564.43975,2.01E+02,3.27E+00,-5.36E+02,0.00E+00,-3.43E+01,0,-8.16E-01
43564.43976,2.01E+02,3.26E+00,-5.36E+02,0.00E+00,-3.44E+01,0,-8.18E-01
43564.43977,2.01E+02,3.30E+00,-5.43E+02,0.00E+00,-3.46E+01,0,-8.19E-01
43564.43978,2.01E+02,3.24E+00,-5.31E+02,0.00E+00,-3.47E+01,0,-8.17E-01
43564.43979,2.01E+02,3.26E+00,-5.37E+02,0.00E+00,-3.49E+01,0,-8.20E-01
43564.4398,2.01E+02,3.29E+00,-5.42E+02,0.00E+00,-3.50E+01,0,-8.20E-01
43564.43981,2.01E+02,3.23E+00,-5.31E+02,0.00E+00,-3.52E+01,0,-8.19E-01
43564.43983,2.01E+02,3.31E+00,-5.45E+02,0.00E+00,-3.53E+01,0,-8.20E-01
43564.43984,2.01E+02,3.31E+00,-5.45E+02,0.00E+00,-3.55E+01,0,-8.19E-01
43564.43985,2.01E+02,3.24E+00,-5.32E+02,0.00E+00,-3.56E+01,0,-8.18E-01
43564.43986,2.01E+02,3.22E+00,-5.30E+02,0.00E+00,-3.58E+01,0,-8.18E-01
43564.43987,2.02E+02,3.24E+00,-5.34E+02,0.00E+00,-3.59E+01,0,-8.17E-01
43564.43988,2.02E+02,3.23E+00,-5.32E+02,0.00E+00,-3.61E+01,0,-8.18E-01
43564.4399,2.01E+02,3.21E+00,-5.28E+02,0.00E+00,-3.62E+01,0,-8.17E-01
43564.43991,2.01E+02,3.31E+00,-5.45E+02,0.00E+00,-3.64E+01,0,-8.21E-01
43564.43992,2.01E+02,3.20E+00,-5.28E+02,0.00E+00,-3.65E+01,0,-8.18E-01
43564.43993,2.01E+02,3.22E+00,-5.30E+02,0.00E+00,-3.67E+01,0,-8.18E-01
43564.43994,2.01E+02,3.24E+00,-5.33E+02,0.00E+00,-3.68E+01,0,-8.17E-01
43564.43995,2.01E+02,3.26E+00,-5.35E+02,0.00E+00,-3.70E+01,0,-8.16E-01
43564.43997,2.01E+02,3.22E+00,-5.29E+02,0.00E+00,-3.71E+01,0,-8.18E-01
43564.43998,2.01E+02,3.28E+00,-5.39E+02,0.00E+00,-3.73E+01,0,-8.18E-01
43564.43999,2.01E+02,3.30E+00,-5.42E+02,0.00E+00,-3.74E+01,0,-8.18E-01
43564.44,2.01E+02,3.25E+00,-5.35E+02,0.00E+00,-3.76E+01,0,-8.18E-01
43564.44001,2.02E+02,3.23E+00,-5.31E+02,0.00E+00,-3.77E+01,0,-8.17E-01
43564.44002,2.01E+02,3.24E+00,-5.32E+02,0.00E+00,-3.78E+01,0,-8.17E-01
43564.44003,2.01E+02,3.27E+00,-5.38E+02,0.00E+00,-3.80E+01,0,-8.17E-01
43564.44005,2.01E+02,3.28E+00,-5.39E+02,0.00E+00,-3.81E+01,0,-8.18E-01
43564.44006,2.01E+02,3.25E+00,-5.36E+02,0.00E+00,-3.83E+01,0,-8.18E-01
43564.44007,2.01E+02,3.20E+00,-5.27E+02,0.00E+00,-3.84E+01,0,-8.18E-01
43564.44008,2.02E+02,3.23E+00,-5.33E+02,0.00E+00,-3.86E+01,0,-8.20E-01
43564.44009,2.01E+02,3.29E+00,-5.44E+02,0.00E+00,-3.87E+01,0,-8.21E-01
43564.4401,2.02E+02,3.29E+00,-5.45E+02,0.00E+00,-3.89E+01,0,-8.21E-01
43564.44012,2.01E+02,3.30E+00,-5.46E+02,0.00E+00,-3.90E+01,0,-8.21E-01
